"study","bullet_dir","filename"
"Barsto Broached","Barrel 1/Bullet 1","Barrel 1/Bullet 1/Barsto Broached - Barrel 1 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 1/Bullet 2","Barrel 1/Bullet 2/Barsto Broached - Barrel 1 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 1/Bullet 3","Barrel 1/Bullet 3/Barsto Broached - Barrel 1 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 2/Bullet 1","Barrel 2/Bullet 1/Barsto Broached - Barrel 2 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 2/Bullet 2","Barrel 2/Bullet 2/Barsto Broached - Barrel 2 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 2/Bullet 3","Barrel 2/Bullet 3/Barsto Broached - Barrel 2 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 3/Bullet 1","Barrel 3/Bullet 1/Barsto Broached - Barrel 3 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 3/Bullet 2","Barrel 3/Bullet 2/Barsto Broached - Barrel 3 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 3/Bullet 3","Barrel 3/Bullet 3/Barsto Broached - Barrel 3 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 4/Bullet 1","Barrel 4/Bullet 1/Barsto Broached - Barrel 4 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 4/Bullet 2","Barrel 4/Bullet 2/Barsto Broached - Barrel 4 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 4/Bullet 3","Barrel 4/Bullet 3/Barsto Broached - Barrel 4 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 5/Bullet 1","Barrel 5/Bullet 1/Barsto Broached - Barrel 5 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 5/Bullet 2","Barrel 5/Bullet 2/Barsto Broached - Barrel 5 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Barsto Broached","Barrel 5/Bullet 3","Barrel 5/Bullet 3/Barsto Broached - Barrel 5 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
