"study","bullet_dir","filename"
"Clones 224 2","Set 1/Barrel 1/Bullet 1","Set 1/Barrel 1/Bullet 1/Clones 224 2 - Set 1 - Barrel 1 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 1/Bullet 2","Set 1/Barrel 1/Bullet 2/Clones 224 2 - Set 1 - Barrel 1 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 10/Bullet 1","Set 1/Barrel 10/Bullet 1/Clones 224 2 - Set 1 - Barrel 10 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p"
"Clones 224 2","Set 1/Barrel 10/Bullet 2","Set 1/Barrel 10/Bullet 2/Clones 224 2 - Set 1 - Barrel 10 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 2/Bullet 1","Set 1/Barrel 2/Bullet 1/Clones 224 2 - Set 1 - Barrel 2 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 2/Bullet 2","Set 1/Barrel 2/Bullet 2/Clones 224 2 - Set 1 - Barrel 2 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 3/Bullet 1","Set 1/Barrel 3/Bullet 1/Clones 224 2 - Set 1 - Barrel 3 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 3/Bullet 2","Set 1/Barrel 3/Bullet 2/Clones 224 2 - Set 1 - Barrel 3 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 4/Bullet 1","Set 1/Barrel 4/Bullet 1/Clones 224 2 - Set 1 - Barrel 4 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 4/Bullet 2","Set 1/Barrel 4/Bullet 2/Clones 224 2 - Set 1 - Barrel 4 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 5/Bullet 1","Set 1/Barrel 5/Bullet 1/Clones 224 2 - Set 1 - Barrel 5 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 5/Bullet 2","Set 1/Barrel 5/Bullet 2/Clones 224 2 - Set 1 - Barrel 5 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 6/Bullet 1","Set 1/Barrel 6/Bullet 1/Clones 224 2 - Set 1 - Barrel 6 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 6/Bullet 2","Set 1/Barrel 6/Bullet 2/Clones 224 2 - Set 1 - Barrel 6 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 7/Bullet 1","Set 1/Barrel 7/Bullet 1/Clones 224 2 - Set 1 - Barrel 7 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 7/Bullet 2","Set 1/Barrel 7/Bullet 2/Clones 224 2 - Set 1 - Barrel 7 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 8/Bullet 1","Set 1/Barrel 8/Bullet 1/Clones 224 2 - Set 1 - Barrel 8 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 8/Bullet 2","Set 1/Barrel 8/Bullet 2/Clones 224 2 - Set 1 - Barrel 8 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 9/Bullet 1","Set 1/Barrel 9/Bullet 1/Clones 224 2 - Set 1 - Barrel 9 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Barrel 9/Bullet 2","Set 1/Barrel 9/Bullet 2/Clones 224 2 - Set 1 - Barrel 9 - Bullet 1 - Land 2 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Unknown/Bullet F","Set 1/Unknown/Bullet F/Clones 224 2 - Set 1 - Unknown - Bullet F - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Unknown/Bullet G","Set 1/Unknown/Bullet G/Clones 224 2 - Set 1 - Unknown - Bullet G - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Clones 224 2","Set 1/Unknown/Bullet H","Set 1/Unknown/Bullet H/Clones 224 2 - Set 1 - Unknown - Bullet H - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p"
"Clones 224 2","Set 1/Unknown/Bullet I","Set 1/Unknown/Bullet I/Clones 224 2 - Set 1 - Unknown - Bullet I - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
