"study","bullet_dir","filename"
"SR Scans","Box 1/Bullet 1","Box 1/Bullet 1/SR - Box 1 - Bullet 1 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 1/Bullet 2","Box 1/Bullet 2/SR - Box 1 - Bullet 2 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 1/Bullet 3","Box 1/Bullet 3/SR - Box 1 - Bullet 3 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 2/Bullet 1","Box 2/Bullet 1/SR - Box 2 - Bullet 1 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 2/Bullet 2","Box 2/Bullet 2/SR - Box 2 - Bullet 2 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 2/Bullet 3","Box 2/Bullet 3/SR - Box 2 - Bullet 3 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 3/Bullet 1","Box 3/Bullet 1/SR - Box 3 - Bullet 1 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 3/Bullet 2","Box 3/Bullet 2/SR - Box 3 - Bullet 2 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 3/Bullet 3","Box 3/Bullet 3/SR - Box 3 - Bullet 3 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 4/Bullet 1","Box 4/Bullet 1/SR - Box 4 - Bullet 1 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 4/Bullet 2","Box 4/Bullet 2/SR - Box 4 - Bullet 2 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 4/Bullet 3","Box 4/Bullet 3/SR - Box 4 - Bullet 3 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 5/Bullet 1","Box 5/Bullet 1/SR - Box 5 - Bullet 1 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 5/Bullet 2","Box 5/Bullet 2/SR - Box 5 - Bullet 2 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 5/Bullet 3","Box 5/Bullet 3/SR - Box 5 - Bullet 3 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 6/Bullet 1","Box 6/Bullet 1/SR - Box 6 - Bullet 1 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
"SR Scans","Box 7/Bullet 1","Box 7/Bullet 1/SR - Box 7 - Bullet 1 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - Threshold 2 - Resolution 4 - Marco Yepez.x3p"
