study,bullet_dir,filename,bullet_code
Barsto Broached,Barrel 1/Bullet 1,Barsto Broached - Barrel 1 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.1.1
Barsto Broached,Barrel 1/Bullet 2,Barsto Broached - Barrel 1 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.1.2
Barsto Broached,Barrel 1/Bullet 3,Barsto Broached - Barrel 1 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.1.3
Barsto Broached,Barrel 2/Bullet 1,Barsto Broached - Barrel 2 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.2.1
Barsto Broached,Barrel 2/Bullet 2,Barsto Broached - Barrel 2 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.2.2
Barsto Broached,Barrel 2/Bullet 3,Barsto Broached - Barrel 2 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.2.3
Barsto Broached,Barrel 3/Bullet 1,Barsto Broached - Barrel 3 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.3.1
Barsto Broached,Barrel 3/Bullet 2,Barsto Broached - Barrel 3 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.3.2
Barsto Broached,Barrel 3/Bullet 3,Barsto Broached - Barrel 3 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.3.3
Barsto Broached,Barrel 4/Bullet 1,Barsto Broached - Barrel 4 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.4.1
Barsto Broached,Barrel 4/Bullet 2,Barsto Broached - Barrel 4 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.4.2
Barsto Broached,Barrel 4/Bullet 3,Barsto Broached - Barrel 4 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.4.3
Barsto Broached,Barrel 5/Bullet 1,Barsto Broached - Barrel 5 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.5.1
Barsto Broached,Barrel 5/Bullet 2,Barsto Broached - Barrel 5 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.5.2
Barsto Broached,Barrel 5/Bullet 3,Barsto Broached - Barrel 5 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,bar.5.3
