study,bullet_dir,filename,bullet_code
Boxes 1-6 2024,Box 1/Bullet 1/Land,Boxes 1-6 2024 - Box 1 - Bullet 1 - Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.1.1
Boxes 1-6 2024,Box 1/Bullet 2/Land,Boxes 1-6 2024 - Box 1 - Bullet 2 - Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.1.2
Boxes 1-6 2024,Box 1/Bullet 3/Land,Boxes 1-6 2024 - Box 1 - Bullet 3- Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.1.3
Boxes 1-6 2024,Box 1/Bullet 4/Land,Boxes 1-6 2024 - Box 1 - Bullet 4- Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.1.4
Boxes 1-6 2024,Box 1/Bullet 5/Land,Boxes 1-6 2024 - Box 1 - Bullet 5- Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.1.5
Boxes 1-6 2024,Box 2/Bullet 1/Land,Boxes 1-6 2024 - Box 2 - Bullet 1 - Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.2.1
Boxes 1-6 2024,Box 2/Bullet 2/Land,Boxes 1-6 2024 - Box 2 - Bullet 2- Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.2.2
Boxes 1-6 2024,Box 2/Bullet 3/Land,Boxes 1-6 2024 - Box 2 - Bullet 3- Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.2.3
Boxes 1-6 2024,Box 2/Bullet 4/Land,Boxes 1-6 2024 - Box 2 - Bullet 4- Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.2.4
Boxes 1-6 2024,Box 2/Bullet 5/Land,Boxes 1-6 2024 - Box 2 - Bullet 5- Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.2.5
Boxes 1-6 2024,Box 6/Bullet 2/Land,Boxes 1-6 2024 - Box 6 - Bullet 2 - Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.6.2
Boxes 1-6 2024,Box 6/Bullet 3/Land,Boxes 1-6 2024 - Box 6 - Bullet 3- Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.6.3
Boxes 1-6 2024,Box 6/Bullet 4/Land,Boxes 1-6 2024 - Box 6 - Bullet 4- Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.6.4
Boxes 1-6 2024,Box 6/Bullet 5/Land,Boxes 1-6 2024 - Box 6 - Bullet 5- Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p,box1624.6.5
