study,bullet_dir,filename,bullet_code
Boxes 1-6,Box 3/Bullet 1/Land,Boxes 1-6- Box 3- Bullet 1- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.3.1
Boxes 1-6,Box 3/Bullet 2/Land,Boxes 1-6- Box 3- Bullet 2- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.3.2
Boxes 1-6,Box 3/Bullet 3/Land,Boxes 1-6- Box 3- Bullet 3- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.3.3
Boxes 1-6,Box 3/Bullet 4/Land,Boxes 1-6- Box 3- Bullet 4- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.3.4
Boxes 1-6,Box 3/Bullet 5/Land,Boxes 1-6- Box 3- Bullet 5- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.3.5
Boxes 1-6,Box 4/Bullet 1/Land,Boxes 1-6- Box 4- Bullet 1- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.4.1
Boxes 1-6,Box 4/Bullet 2/Land,Boxes 1-6- Box 4- Bullet 2- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.4.2
Boxes 1-6,Box 4/Bullet 3/Land,Boxes 1-6- Box 4- Bullet 3- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.4.3
Boxes 1-6,Box 4/Bullet 4/Land,Boxes 1-6- Box 4- Bullet 1- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.4.1
Boxes 1-6,Box 4/Bullet 5/Land,Boxes 1-6- Box 4- Bullet 5- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.4.5
Boxes 1-6,Box 5/Bullet 1/Land,Boxes 1-6- Box 5- Bullet 1- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.5.1
Boxes 1-6,Box 5/Bullet 2/Land,Boxes 1-6- Box 5- Bullet 2- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.5.2
Boxes 1-6,Box 5/Bullet 3/Land,Boxes 1-6- Box 5- Bullet 3- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.5.3
Boxes 1-6,Box 5/Bullet 4/Land,Boxes 1-6- Box 5- Bullet 4- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.5.4
Boxes 1-6,Box 5/Bullet 5/Land,Boxes 1-6- Box 5- Bullet 5- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.5.5
Boxes 1-6,Box 6/Bullet 1/Land,Boxes 1-6- Box 6- Bullet 1- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Megan McGuire.x3p,box16.6.1
