study,bullet_dir,filename,bullet_code
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 1/Bullet 1,CSAFE Persistence - SW - SW 1 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,cspsw.1.1
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 1/Bullet 2,CSAFE Persistence - SW - SW 1 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,cspsw.1.2
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 1/Bullet 3,CSAFE Persistence - SW - SW 1 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,cspsw.1.3
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 10/Bullet 1,CSAFE Persistence - SW - SW 10 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Jozef Lamfers.x3p,cspsw.10.1
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 10/Bullet 2,CSAFE Persistence - SW - SW 10 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Jozef Lamfers.x3p,cspsw.10.2
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 10/Bullet 3,CSAFE Persistence - SW - SW 10 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Jozef Lamfers.x3p,cspsw.10.3
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 11/Bullet 1,CSAFE Persistence - SW - SW 11 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Jozef Lamfers.x3p,cspsw.11.1
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 11/Bullet 2,CSAFE Persistence - SW - SW 11 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,cspsw.11.2
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 11/Bullet 3,CSAFE Persistence - SW - SW 11 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,cspsw.11.3
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 12/Bullet 1,CSAFE Persistence - SW - SW 12 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,cspsw.12.1
