study,bullet_dir,filename,bullet_code
Clones 224 2,Set 1/Barrel 1/Bullet 1,Clones 224 2 - Set 1 - Barrel 1 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.1.1
Clones 224 2,Set 1/Barrel 1/Bullet 2,Clones 224 2 - Set 1 - Barrel 1 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.1.2
Clones 224 2,Set 1/Barrel 10/Bullet 1,Clones 224 2 - Set 1 - Barrel 10 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.1.10.1
Clones 224 2,Set 1/Barrel 10/Bullet 2,Clones 224 2 - Set 1 - Barrel 10 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.10.2
Clones 224 2,Set 1/Barrel 2/Bullet 1,Clones 224 2 - Set 1 - Barrel 2 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.2.1
Clones 224 2,Set 1/Barrel 2/Bullet 2,Clones 224 2 - Set 1 - Barrel 2 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.2.2
Clones 224 2,Set 1/Barrel 3/Bullet 1,Clones 224 2 - Set 1 - Barrel 3 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.3.1
Clones 224 2,Set 1/Barrel 3/Bullet 2,Clones 224 2 - Set 1 - Barrel 3 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.3.2
Clones 224 2,Set 1/Barrel 4/Bullet 1,Clones 224 2 - Set 1 - Barrel 4 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.4.1
Clones 224 2,Set 1/Barrel 4/Bullet 2,Clones 224 2 - Set 1 - Barrel 4 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.4.2
Clones 224 2,Set 1/Barrel 5/Bullet 1,Clones 224 2 - Set 1 - Barrel 5 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.5.1
Clones 224 2,Set 1/Barrel 5/Bullet 2,Clones 224 2 - Set 1 - Barrel 5 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.5.2
Clones 224 2,Set 1/Barrel 6/Bullet 1,Clones 224 2 - Set 1 - Barrel 6 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.6.1
Clones 224 2,Set 1/Barrel 6/Bullet 2,Clones 224 2 - Set 1 - Barrel 6 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.6.2
Clones 224 2,Set 1/Barrel 7/Bullet 1,Clones 224 2 - Set 1 - Barrel 7 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.7.1
Clones 224 2,Set 1/Barrel 7/Bullet 2,Clones 224 2 - Set 1 - Barrel 7 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.7.2
Clones 224 2,Set 1/Barrel 8/Bullet 1,Clones 224 2 - Set 1 - Barrel 8 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.8.1
Clones 224 2,Set 1/Barrel 8/Bullet 2,Clones 224 2 - Set 1 - Barrel 8 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.8.2
Clones 224 2,Set 1/Barrel 9/Bullet 1,Clones 224 2 - Set 1 - Barrel 9 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.9.1
Clones 224 2,Set 1/Barrel 9/Bullet 2,Clones 224 2 - Set 1 - Barrel 9 - Bullet 1 - Land 2 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.9.1
Clones 224 2,Set 1/Unknown/Bullet F,Clones 224 2 - Set 1 - Unknown - Bullet F - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.U.F
Clones 224 2,Set 1/Unknown/Bullet G,Clones 224 2 - Set 1 - Unknown - Bullet G - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.U.G
Clones 224 2,Set 1/Unknown/Bullet H,Clones 224 2 - Set 1 - Unknown - Bullet H - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.1.U.H
