study,bullet_dir,filename,bullet_code
DFSC,(A1) Ruger P95DC/Bullet 1,DFSC - Ruger P95DC - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.ru.1
DFSC,(A1) Ruger P95DC/Bullet 2,DFSC - Ruger P95DC - Bullet 2- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.ru.2
DFSC,(A1) Ruger P95DC/Bullet 3,DFSC - Ruger P95DC - Bullet 3- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.ru.3
DFSC,(A1) Ruger P95DC/Bullet 4,DFSC - Ruger P95DC - Bullet 4- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.ru.4
DFSC,(A1) Ruger P95DC/Bullet 5,DFSC - Ruger P95DC - Bullet 5- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.ru.5
DFSC,(A1) Ruger P95DC/Bullet 6,DFSC - Ruger P95DC - Bullet 6- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.ru.6
DFSC,(A2) Hi-Point Model C/Bullet 1,DFSC - Hi-Point Model C - Bullet 1- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.hi.1
DFSC,(A2) Hi-Point Model C/Bullet 2,DFSC - Hi-Point Model C - Bullet 2- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.hi.2
DFSC,(A2) Hi-Point Model C/Bullet 3,DFSC - Hi-Point Model C - Bullet 3- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.hi.3
DFSC,(A2) Hi-Point Model C/Bullet 4,DFSC - Hi-Point Model C - Bullet 4 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p,dfsc.hi.4
DFSC,(A2) Hi-Point Model C/Bullet 5,DFSC - Hi-Point Model C - Bullet 5 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p,dfsc.hi.5
DFSC,(A3) Springfield XD-9/Bullet 1,DFSC - Springfield XD-9 - Bullet 1- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.sp.1
DFSC,(A3) Springfield XD-9/Bullet 2,DFSC - Springfield XD-9 - Bullet 2- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.sp.2
DFSC,(A3) Springfield XD-9/Bullet 3,DFSC - Springfield XD-9 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p,dfsc.sp.3
DFSC,(A3) Springfield XD-9/Bullet 4,DFSC - Springfield XD-9 - Bullet 4 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mya Fisher.x3p,dfsc.sp.4
DFSC,(A3) Springfield XD-9/Bullet 5,DFSC - Springfield XD-9 - Bullet 5 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mya Fisher.x3p,dfsc.sp.5
DFSC,(A4) Glock 19/Bullet 1,DFSC - Glock 19 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mya Fisher.x3p,dfsc.gl.1
DFSC,(A4) Glock 19/Bullet 2,DFSC - Glock 19 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mya Fisher.x3p,dfsc.gl.2
