study,bullet_dir,filename,bullet_code
Hamby 224 Clone,Test Set 1/Barrel 1/Bullet 1,HS224 Clone - Test Set 1 - Barrel 1 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.1.1.1
Hamby 224 Clone,Test Set 1/Barrel 1/Bullet 2,HS224 Clone - Test Set 1 - Barrel 1 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.1.1.2
Hamby 224 Clone,Test Set 1/Bullet Q,HS224 Clone - Test Set 1 - Bullet Q - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.1.U.Q
Hamby 224 Clone,Test Set 10/Barrel 10/Bullet 1,HS224 Clone - Test Set 10 - Barrel 10 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.10.10.1
Hamby 224 Clone,Test Set 10/Barrel 10/Bullet 2,HS224 Clone - Test Set 10 - Barrel 10 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.10.10.2
Hamby 224 Clone,Test Set 10/Bullet H,HS224 Clone - Test Set 10 - Bullet H - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.10.U.H
Hamby 224 Clone,Test Set 11/Barrel 11/Bullet 1,HS224 Clone - Test Set 11 - Barrel 1 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.11.1.1
Hamby 224 Clone,Test Set 11/Barrel 11/Bullet 2,HS224 Clone - Test Set 11 - Barrel 1 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.11.1.2
Hamby 224 Clone,Test Set 11/Bullet I,HS224 Clone - Test Set 11 - Bullet I - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.11.U.I
Hamby 224 Clone,Test Set 12/Barrel 12/Bullet 1,HS224 Clone - Test Set 12 - Barrel 2 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.12.2.1
Hamby 224 Clone,Test Set 12/Barrel 12/Bullet 2,HS224 Clone - Test Set 12 - Barrel 2 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.12.2.2
Hamby 224 Clone,Test Set 12/Bullet P,HS224 Clone - Test Set 12 - Bullet P - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.12.U.P
Hamby 224 Clone,Test Set 13/Barrel 13/Bullet 1,HS224 Clone - Test Set 13 - Barrel 3 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.13.3.1
