study,bullet_dir,filename,bullet_code
Hamby 259 Clone Set,Barrel 1/Bullet 1,HS259 - Barrel 1 - Bullet 1 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p,hmb259.1.1
Hamby 259 Clone Set,Barrel 1/Bullet 2,HS259 - Barrel 1 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p,hmb259.1.2
Hamby 259 Clone Set,Barrel 2/Bullet 1,HS259 - Barrel 2 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p,hmb259.2.1
Hamby 259 Clone Set,Barrel 2/Bullet 2,HS259 - Barrel 2 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p,hmb259.2.2
Hamby 259 Clone Set,Barrel 3/Bullet 1,HS259 - Barrel 3 - Bullet 1 - Land 1 - Sneox1 - 20x - autolight left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p,hmb259.3.1
Hamby 259 Clone Set,Barrel 3/Bullet 2,HS259 - Barrel 3 - Bullet 2 - Land 1 - Sneox1 - 20x - autolight left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p,hmb259.3.2
Hamby 259 Clone Set,Barrel 4/Bullet 1,HS259 - Barrel 4 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,hmb259.4.1
Hamby 259 Clone Set,Barrel 4/Bullet 2,HS259 - Barrel 4 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,hmb259.4.2
Hamby 259 Clone Set,Barrel 5/Bullet 1,HS259 - Barrel 5 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,hmb259.5.1
Hamby 259 Clone Set,Barrel 5/Bullet 2,HS259 - Barrel 5 - Bullet 2 - Land 1 - Sneox2 - 20x - autolight left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,hmb259.5.2
Hamby 259 Clone Set,Tests/Scanning Sections/Barrel 1/Bullet 1/Land 2,HS259 - Barrel 1; Bullet 1; Land 2 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - bottom section - Allison Mark.x3p,hmb259.1.1
