study,bullet_dir,filename,bullet_code
Hamby Set 10,Barrel 1/Bullet 1,HS10 - Barrel 1 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.1.1
Hamby Set 10,Barrel 1/Bullet 2,HS10 - Barrel 1 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.1.2
Hamby Set 10,Barrel 10/Bullet 1,HS10 - Barrel 10 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image + 20% & x10 - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.10.1
Hamby Set 10,Barrel 10/Bullet 2,HS10 - Barrel 10 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.10.2
Hamby Set 10,Barrel 2/Bullet 1,HS10 - Barrel 2 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Carley McConnell.x3p,hmb10.2.1
Hamby Set 10,Barrel 2/Bullet 2,HS10 - Barrel 2 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Carley McConnell.x3p,hmb10.2.2
Hamby Set 10,Barrel 3/Bullet 1,HS10 - Barrel 3 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.3.1
Hamby Set 10,Barrel 3/Bullet 2,HS10 - Barrel 3 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.3.2
Hamby Set 10,Barrel 4/Bullet 1,HS10 - Barrel 4 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Carley McConnell.x3p,hmb10.4.1
Hamby Set 10,Barrel 4/Bullet 2,HS10 - Barrel 4 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Carley McConnell.x3p,hmb10.4.2
Hamby Set 10,Barrel 5/Bullet 1,HS10 - Barrel 5 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb10.5.1
Hamby Set 10,Barrel 5/Bullet 2,HS10 - Barrel 5 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb10.5.2
Hamby Set 10,Barrel 6/Bullet 1,HS10 - Barrel 6 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb10.6.1
Hamby Set 10,Barrel 6/Bullet 2,HS10 - Barrel 6 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb10.6.2
Hamby Set 10,Barrel 7/Bullet 1,HS10 - Barrel 7 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% & x10 - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb10.7.1
Hamby Set 10,Barrel 7/Bullet 2,HS10 - Barrel 7 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% & x10 - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb10.7.2
Hamby Set 10,Barrel 8/Bullet 1,HS10 - Barrel 8 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% & x10 - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb10.8.1
Hamby Set 10,Barrel 8/Bullet 2,HS10 - Barrel 8 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.8.2
Hamby Set 10,Barrel 9/Bullet 1,HS10 - Barrel 9 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.9.1
Hamby Set 10,Barrel 9/Bullet 2,HS10 - Barrel 9 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image + 20% & x10 - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.9.2
Hamby Set 10,Unknown/Bullet A,HS10 - Unknown - Bullet A - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.U.A
Hamby Set 10,Unknown/Bullet B,HS10 - Unknown - Bullet B - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.U.B
Hamby Set 10,Unknown/Bullet C,HS10 - Unknown - Bullet C - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.U.C
Hamby Set 10,Unknown/Bullet D,HS10 - Unknown - Bullet D - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.U.D
Hamby Set 10,Unknown/Bullet F,HS10 - Unknown - Bullet F - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Carley McConnell.x3p,hmb10.U.F
Hamby Set 10,Unknown/Bullet G,HS10 - Unknown - Bullet G - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Carley McConnell.x3p,hmb10.U.G
Hamby Set 10,Unknown/Bullet I,HS10 - Unknown - Bullet I - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.U.I
Hamby Set 10,Unknown/Bullet K,HS10 - Unknown - Bullet K - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.U.K
Hamby Set 10,Unknown/Bullet N,HS10 - Unknown - Bullet N - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Carley McConnell.x3p,hmb10.U.N
Hamby Set 10,Unknown/Bullet P,HS10 - Unknown - Bullet P - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.U.P
Hamby Set 10,Unknown/Bullet R,HS10 - Unknown - Bullet R - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.U.R
Hamby Set 10,Unknown/Bullet U,HS10 - Unknown - Bullet U - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.U.U
Hamby Set 10,Unknown/Bullet V,HS10 - Unknown - Bullet V - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.U.V
Hamby Set 10,Unknown/Bullet W,HS10 - Unknown - Bullet W - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.U.W
Hamby Set 10,Unknown/Bullet Y,HS10 - Unknown - Bullet Y - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb10.U.Y
