study,bullet_dir,filename,bullet_code
Hamby Set 44 Final,Barrel 1/Bullet 1,HS44 - Barrel 1 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb44.1.1
Hamby Set 44 Final,Barrel 1/Bullet 2,HS44 - Barrel 1 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb44.1.2
Hamby Set 44 Final,Barrel 10/Bullet 1,HS44 - Barrel 10 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. x10- threshold 2 - resolution 4 - Marco Yepez.x3p,hmb44.10.1
Hamby Set 44 Final,Barrel 10/Bullet 2,HS44 - Barrel 10 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. x10- threshold 2 - resolution 4 - Marco Yepez.x3p,hmb44.10.2
Hamby Set 44 Final,Barrel 2/Bullet 1,HS44 - Barrel 2 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb44.2.1
Hamby Set 44 Final,Barrel 2/Bullet 2,HS44 - Barrel 2 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb44.2.2
Hamby Set 44 Final,Barrel 3/Bullet 1,HS44 - Barrel 3 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p,hmb44.3.1
Hamby Set 44 Final,Barrel 3/Bullet 2,HS44 - Barrel 3 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p,hmb44.3.2
Hamby Set 44 Final,Barrel 4/Bullet 1,HS44 - Barrel 4 - Bullet1 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p,hmb44.4.1
Hamby Set 44 Final,Barrel 4/Bullet 2,HS44 - Barrel 4 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p,hmb44.4.2
Hamby Set 44 Final,Barrel 5/Bullet 1,HS44 - Barrel 5 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb44.5.1
Hamby Set 44 Final,Barrel 5/Bullet 2,HS44 - Barrel 5 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb44.5.2
