study,bullet_dir,filename,bullet_code
Hamby Set X,Test Set 1/Known/Bullet 1,Hamby Set X - Test Set 1 - Known - Bullet 1- Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Sammi Springer.x3p,hmbx.1.K.1
Hamby Set X,Test Set 1/Known/Bullet 2,Hamby Set X - Test Set 1 - Known - Bullet 2- Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Sammi Springer.x3p,hmbx.1.K.2
Hamby Set X,Test Set 1/Questioned/Bullet Q,Hamby Set X - Test Set 1 - Questioned - Bullet Q - Land 1 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Sammi Springer.x3p,hmbx.1.Q.Q
Hamby Set X,Test Set 10/Known/Bullet 1,Hamby Set X - Test Set 10 - Known - Bullet 1 - Land 1 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.10.K.1
Hamby Set X,Test Set 10/Known/Bullet 2,Hamby Set X - Test Set 10 - Known - Bullet 2 - Land 1 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.10.K.2
Hamby Set X,Test Set 10/Questioned/Bullet H,Hamby Set X - Test Set 10 - Questioned - Bullet H - Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.10.Q.H
Hamby Set X,Test Set 11/Known/Bullet 1,Hamby Set X - Test Set 11 - Known - Bullet 1 - Land 1 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,hmbx.11.K.1
Hamby Set X,Test Set 11/Known/Bullet 2,Hamby Set X - Test Set 11 - Known - Bullet 2 - Land 1 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,hmbx.11.K.2
Hamby Set X,Test Set 11/Questioned/Bullet I,Hamby Set X - Test Set 11 - Questioned - Bullet I - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,hmbx.11.Q.I
Hamby Set X,Test Set 12/Known/Bullet 1,Hamby Set X - Test Set 12 - Known - Bullet 1 - Land 1 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.12.K.1
Hamby Set X,Test Set 12/Known/Bullet 2,Hamby Set X - Test Set 12 - Known - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,hmbx.12.K.2
Hamby Set X,Test Set 12/Questioned/Bullet P,Hamby Set X - Test Set 12 - Questioned - Bullet P - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,hmbx.12.Q.P
Hamby Set X,Test Set 13/Known/Bullet 1,Hamby Set X - Test Set 13 - Known - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,hmbx.13.K.1
Hamby Set X,Test Set 13/Known/Bullet 2,Hamby Set X - Test Set 13 - Known - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,hmbx.13.K.2
Hamby Set X,Test Set 13/Questioned/Bullet H,Hamby Set X - Test Set 13 - Questioned - Bullet H - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,hmbx.13.Q.H
Hamby Set X,Test Set 14/Known/Bullet 1,Hamby Set X - Test Set 14 - Known - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmbx.14.K.1
Hamby Set X,Test Set 14/Known/Bullet 2,Hamby Set X - Test Set 14 - Known - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmbx.14.K.2
Hamby Set X,Test Set 14/Questioned/Bullet Q,Hamby Set X - Test Set 14 - Questioned - Bullet Q - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Anyesha Ray.x3p,hmbx.14.Q.Q
Hamby Set X,Test Set 15/Known/Bullet 1,Hamby Set X - Test Set 15 - Known - Bullet 1 - Land 1 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.15.K.1
Hamby Set X,Test Set 15/Known/Bullet 2,Hamby Set X - Test Set 15 - Known - Bullet 2- Land 1 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Sammi Springer.x3p,hmbx.15.K.2
