"study","test","barrel","bullet","bullet_dir","filename"
"Houston Set 3","Test A","Barrel G","Bullet 1","Test A/Barrel G/Bullet 1","Houston Set 3 - Test A - Barrel G - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Houston Set 3","Test A","Barrel J","Bullet 1","Test A/Barrel J/Bullet 1","Houston Set 3 - Test A - Barrel J - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Houston Set 3","Test A","Barrel Q","Bullet 1","Test A/Barrel Q/Bullet 1","Houston Set 3 - Test A - Barrel Q - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Houston Set 3","Test A","Barrel Y","Bullet 1","Test A/Barrel Y/Bullet 1","Houston Set 3 - Test A - Barrel Y - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Houston Set 3","Test A","Unknowns","Bullet 257","Test A/Unknowns/Bullet 257","Houston Set 3 - Test A - Barrel Unknown - Bullet 257 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Houston Set 3","Test B","Barrel C","Bullet 1","Test B/Barrel C/Bullet 1","Houston Set 3 - Test B - Barrel C - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Houston Set 3","Test B","Barrel F","Bullet 1","Test B/Barrel F/Bullet 1","Houston Set 3 - Test B - Barrel F - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Houston Set 3","Test B","Barrel G","Bullet 1","Test B/Barrel G/Bullet 1","Houston Set 3 - Test B - Barrel G - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Houston Set 3","Test B","Barrel K","Bullet 1","Test B/Barrel K/Bullet 1","Houston Set 3 - Test B - Barrel K - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p"
"Houston Set 3","Test B","Barrel Y","Bullet 1","Test B/Barrel Y/Bullet 1","Houston Set 3 - Test B - Barrel Y - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Houston Set 3","Test B","Unknowns","Bullet 151","Test B/Unknowns/Bullet 151","Houston Set 3 - Test B - Barrel Unknown - Bullet 151 - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p"
