"study","test","barrel","bullet","bullet_dir","filename"
"Houston Set Final","Group 1","KA","Bullet 1","Group 1/KA/Bullet 1","HTX - Group 1 - Kit CU - KA Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p"
"Houston Set Final","Group 1","KA","Bullet 2","Group 1/KA/Bullet 2","HTX - Group 1 - Kit CU - KA Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p"
"Houston Set Final","Group 1","KB","Bullet 1","Group 1/KB/Bullet 1","HTX - Group 1 - Kit CU - KB Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison MarK.x3p"
"Houston Set Final","Group 1","KB","Bullet 2","Group 1/KB/Bullet 2","HTX - Group 1 - Kit CU - KB Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p"
"Houston Set Final","Group 1","KC","Bullet 1","Group 1/KC/Bullet 1","HTX - Group 1 - Kit CU - KC Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p"
"Houston Set Final","Group 1","KC","Bullet 2","Group 1/KC/Bullet 2","HTX - Group 1 - Kit CU - KC Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p"
"Houston Set Final","Group 1","KD","Bullet 1","Group 1/KD/Bullet 1","HTX - Group 1 - Kit CU - KD Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p"
"Houston Set Final","Group 1","KD","Bullet 2","Group 1/KD/Bullet 2","HTX - Group 1 - Kit CU - KD Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p"
"Houston Set Final","Group 1","KE","Bullet 1","Group 1/KE/Bullet 1","HTX - Group 1 - Kit CU - KE Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p"
"Houston Set Final","Group 1","KE","Bullet 2","Group 1/KE/Bullet 2","HTX - Group 1 - Kit CU - KE Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.x3p"
"Houston Set Final","Group 1","Unknown","U10","Group 1/Unknown/U10","HTX - Group 1 - Kit CU - U10 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. x10 - threshold 2 - resolution 4 - Connor Hergenreter.x3p"
"Houston Set Final","Group 1","Unknown","U15","Group 1/Unknown/U15","HTX - Group 1 - Kit CU - U15 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Marco Yepez.x3p"
