study,bullet_dir,filename
St Louis,Firearm A/Bullet 1,St. Louis - Firearm A - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 - Mya Fisher.x3p
St Louis,Firearm A/Bullet 1000,St. Louis - Firearm A - Bullet 1000 - Land 1 - Sneox1 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 - Mya Fisher.x3p
St Louis,Firearm A/Bullet 1001,St. Louis - Firearm A - Bullet 1001 - Land 1 - Sneox1 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 - Mya Fisher.x3p
St Louis,Firearm A/Bullet 1025,St. Louis - Firearm A - Bullet 1025 - Land 1 - Sneox1 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p
St Louis,Firearm A/Bullet 1026,St. Louis - Firearm A - Bullet 1026 - Land 1 - Sneox1 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p
St Louis,Firearm A/Bullet 1050,St. Louis - Firearm A - Bullet 1050 - Land 1 - Sneox1 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p
St Louis,Firearm A/Bullet 1051,St. Louis - Firearm A - Bullet 1051 - Land 1 - Sneox1 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p
St Louis,Firearm A/Bullet 1075,St. Louis - Firearm A - Bullet 1075 - Land 1 - Sneox1 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
St Louis,Firearm A/Bullet 1076,St. Louis - Firearm A - Bullet 1076 - Land 1 - Sneox1 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
St Louis,Firearm B/Bullet 1,St. Louis - Firearm B - Bullet 1 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.x3p
St Louis,Firearm B/Bullet 100,St. Louis - Firearm B - Bullet 100 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.x3p
St Louis,Firearm B/Bullet 1000,St. Louis - Firearm B - Bullet 1000 - Land 1 - Sneox2 - 20x - autolight left image +20% & x10 - threshold 2 - resolution 4 -Carley McConnell.x3p
St Louis,Firearm B/Bullet 1001,St. Louis - Firearm B - Bullet 1001 - Land 1 - Sneox2 - 20x - autolight left image +20% & x10 - threshold 2 - resolution 4 -Carley McConnell.x3p
St Louis,Firearm B/Bullet 101,St. Louis - Firearm B - Bullet 101 - Land 1 - Sneox1 - 20x - autolight left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.x3p
St Louis,Firearm B/Bullet 1025,St. Louis - Firearm B - Bullet 1025 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Jozef Lamfers.x3p
St Louis,Firearm B/Bullet 1026,St. Louis - Firearm B - Bullet 1026 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Jozef Lamfers.x3p
St Louis,Firearm B/Bullet 1050,St. Louis - Firearm B - Bullet 1050 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Jozef Lamfers.x3p
St Louis,Firearm B/Bullet 1051,St. Louis - Firearm B - Bullet 1051 - Land 1 - Sneox2 - 20x - autolight left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Jozef Lamfers.x3p
